territory,territory_order,territory_type,average_rent_price,year_quarter
Catalunya,-1,Autonomous Community,650.015946183728,2009Q2
Gràcia,6,District,768.36,2009Q2
Ciutat Vella,1,District,713.28,2009Q2
Barcelona,-1,Municipality,787.675986329182,2009Q2
Nou Barris,8,District,660.22,2009Q2
Sarrià-Sant Gervasi,5,District,1013.72,2009Q2
Sant Martí,10,District,719.71,2009Q2
Sants-Montjuïc,3,District,696.7,2009Q2
Les Corts,4,District,956.4,2009Q2
Sant Andreu,9,District,709.9,2009Q2
Sant Andreu,9,District,690.76,2009Q3
Les Corts,4,District,920.76,2009Q3
Nou Barris,8,District,636.61,2009Q3
Catalunya,-1,Autonomous Community,644.032047049313,2009Q3
Barcelona,-1,Municipality,787.582920015416,2009Q3
Metropolità de Barcelona,-1,Functional Territorial Area,713.43159338372,2009Q3
Sant Martí,10,District,749.17,2009Q3
Eixample,2,District,856.25,2009Q3
Ciutat Vella,1,District,687.81,2009Q3
Gràcia,6,District,748.58,2009Q3
Sants-Montjuïc,3,District,696.01,2009Q3
Sarrià-Sant Gervasi,5,District,1054.7,2009Q3
Horta-Guinardó,7,District,686.93,2009Q3
Sants-Montjuïc,3,District,691.06,2009Q4
Eixample,2,District,845.7,2009Q4
Les Corts,4,District,942.92,2009Q4
Sarrià-Sant Gervasi,5,District,986.92,2009Q4
Horta-Guinardó,7,District,671.3,2009Q4
Gràcia,6,District,756.36,2009Q4
Metropolità de Barcelona,-1,Functional Territorial Area,708.79078451591,2009Q4
Barcelona,-1,Municipality,781.617428340878,2009Q4
Sant Martí,10,District,728.67,2009Q4
Ciutat Vella,1,District,721.5,2009Q4
Catalunya,-1,Autonomous Community,641.263020485009,2009Q4
Nou Barris,8,District,641.59,2009Q4
Sant Andreu,9,District,693.74,2009Q4
Ciutat Vella,1,District,710.95,2010Q1
Gràcia,6,District,738.726941833884,2010Q1
Barcelona,-1,Municipality,775.996048325183,2010Q1
Sants-Montjuïc,3,District,676.89,2010Q1
Gràcia,6,District,743.04,2010Q1
Sant Andreu,9,District,672.734463414634,2010Q1
Les Corts,4,District,878.87,2010Q1
Horta-Guinardó,7,District,652.109707333114,2010Q1
Nou Barris,8,District,621.462923926902,2010Q1
Les Corts,4,District,908.936542324247,2010Q1
Horta-Guinardó,7,District,662.58,2010Q1
Sarrià-Sant Gervasi,5,District,998.614332464524,2010Q1
Nou Barris,8,District,634.94,2010Q1
Eixample,2,District,828.69,2010Q1
Eixample,2,District,833.462842758459,2010Q1
Catalunya,-1,Autonomous Community,622.655490429495,2010Q1
Metropolità de Barcelona,-1,Functional Territorial Area,699.13554137931,2010Q1
Sant Martí,10,District,727.504431279621,2010Q1
Sarrià-Sant Gervasi,5,District,999.79,2010Q1
Sant Martí,10,District,735.48,2010Q1
Barcelona,-1,Municipality,761.866932377772,2010Q1
Metropolità de Barcelona,-1,Functional Territorial Area,687.279703817224,2010Q1
Sant Andreu,9,District,689.03,2010Q1
Catalunya,-1,Autonomous Community,614.546420044266,2010Q1
Sants-Montjuïc,3,District,671.908361056751,2010Q1
Ciutat Vella,1,District,678.789824054622,2010Q1
Horta-Guinardó,7,District,647.66,2010Q2
Metropolità de Barcelona,-1,Functional Territorial Area,681.471474761858,2010Q2
Les Corts,4,District,916.56,2010Q2
Barcelona,-1,Municipality,758.614283869273,2010Q2
Catalunya,-1,Autonomous Community,611.785693734884,2010Q2
Sant Martí,10,District,733.29,2010Q2
Sant Andreu,9,District,677.06,2010Q2
Eixample,2,District,830.5,2010Q2
Sants-Montjuïc,3,District,675.67,2010Q2
Ciutat Vella,1,District,669.77,2010Q2
Sarrià-Sant Gervasi,5,District,986.28,2010Q2
Nou Barris,8,District,619.93,2010Q2
Gràcia,6,District,742.35,2010Q2
Sant Andreu,9,District,659.25,2010Q3
Ciutat Vella,1,District,666.97,2010Q3
Nou Barris,8,District,619.13,2010Q3
Horta-Guinardó,7,District,660.69,2010Q3
Eixample,2,District,840.21,2010Q3
Les Corts,4,District,926.58,2010Q3
Barcelona,-1,Municipality,760.415466775428,2010Q3
Sarrià-Sant Gervasi,5,District,988.91,2010Q3
Gràcia,6,District,746.71,2010Q3
Sant Martí,10,District,727.19,2010Q3
Metropolità de Barcelona,-1,Functional Territorial Area,694.995611001167,2010Q3
Sants-Montjuïc,3,District,666.05,2010Q3
Catalunya,-1,Autonomous Community,621.117189396253,2010Q3
Les Corts,4,District,907.83,2010Q4
Catalunya,-1,Autonomous Community,605.084824425662,2010Q4
Gràcia,6,District,725.09,2010Q4
Horta-Guinardó,7,District,640.86,2010Q4
Ciutat Vella,1,District,672.32,2010Q4
Sant Andreu,9,District,667.07,2010Q4
Sants-Montjuïc,3,District,669.68,2010Q4
Sant Martí,10,District,716.41,2010Q4
Eixample,2,District,834.05,2010Q4
Metropolità de Barcelona,-1,Functional Territorial Area,676.741592490716,2010Q4
Sarrià-Sant Gervasi,5,District,1017.67,2010Q4
Nou Barris,8,District,613.86,2010Q4
Barcelona,-1,Municipality,754.871580873891,2010Q4
Barcelona,-1,Municipality,752.860140253171,2011Q1
Sant Martí,10,District,706.675,2011Q1
Barcelona,-1,Municipality,746.3073,2011Q1
Nou Barris,8,District,609.427010118819,2011Q1
Sant Andreu,9,District,661.6144,2011Q1
Catalunya,-1,Autonomous Community,599.164994265059,2011Q1
Catalunya,-1,Autonomous Community,594.501735055079,2011Q1
Gràcia,6,District,735.5641,2011Q1
Horta-Guinardó,7,District,636.730271409836,2011Q1
Sant Andreu,9,District,658.370460191847,2011Q1
Sarrià-Sant Gervasi,5,District,1017.1143652957,2011Q1
Les Corts,4,District,887.1531,2011Q1
Sarrià-Sant Gervasi,5,District,979.3485,2011Q1
Sant Martí,10,District,705.387378076234,2011Q1
Horta-Guinardó,7,District,641.2771,2011Q1
Nou Barris,8,District,615.234,2011Q1
Sants-Montjuïc,3,District,665.2877,2011Q1
Sants-Montjuïc,3,District,671.598855134879,2011Q1
Metropolità de Barcelona,-1,Functional Territorial Area,670.759249803374,2011Q1
Eixample,2,District,822.0339,2011Q1
Ciutat Vella,1,District,653.8393,2011Q1
Gràcia,6,District,737.052674523397,2011Q1
Metropolità de Barcelona,-1,Functional Territorial Area,668.58858493363,2011Q1
Eixample,2,District,821.809421271904,2011Q1
Ciutat Vella,1,District,663.018492292292,2011Q1
Les Corts,4,District,891.454533736559,2011Q1
Sarrià-Sant Gervasi,5,District,1043.8371,2011Q2
Sant Martí,10,District,699.9038,2011Q2
Nou Barris,8,District,610.6517,2011Q2
Eixample,2,District,814.8877,2011Q2
Horta-Guinardó,7,District,641.8781,2011Q2
Gràcia,6,District,724.6583,2011Q2
Catalunya,-1,Autonomous Community,595.37820863334,2011Q2
Sant Andreu,9,District,657.1326,2011Q2
Sants-Montjuïc,3,District,670.2471,2011Q2
Barcelona,-1,Municipality,744.7107,2011Q2
Les Corts,4,District,874.3652,2011Q2
Ciutat Vella,1,District,651.5538,2011Q2
Metropolità de Barcelona,-1,Functional Territorial Area,665.480768426987,2011Q2
Gràcia,6,District,750.4213,2011Q3
Sant Martí,10,District,709.6642,2011Q3
Les Corts,4,District,895.1002,2011Q3
Nou Barris,8,District,612.7394,2011Q3
Barcelona,-1,Municipality,766.765524156195,2011Q3
Metropolità de Barcelona,-1,Functional Territorial Area,681.56884410111,2011Q3
Eixample,2,District,824.3651,2011Q3
Sants-Montjuïc,3,District,680.7019,2011Q3
Ciutat Vella,1,District,655.2339,2011Q3
Sarrià-Sant Gervasi,5,District,1044.723,2011Q3
Sant Andreu,9,District,659.0688,2011Q3
Catalunya,-1,Autonomous Community,608.514372915933,2011Q3
Horta-Guinardó,7,District,636.7111,2011Q3
Barcelona,-1,Municipality,752.970511624251,2011Q4
Catalunya,-1,Autonomous Community,598.426778227992,2011Q4
Sant Martí,10,District,705.4035,2011Q4
Horta-Guinardó,7,District,627.5243,2011Q4
Les Corts,4,District,903.4492,2011Q4
Sants-Montjuïc,3,District,669.7039,2011Q4
Sarrià-Sant Gervasi,5,District,999.3443,2011Q4
Gràcia,6,District,736.8386,2011Q4
Metropolità de Barcelona,-1,Functional Territorial Area,667.740240989667,2011Q4
Eixample,2,District,825.2825,2011Q4
Nou Barris,8,District,599.1967,2011Q4
Ciutat Vella,1,District,690.5838,2011Q4
Sant Andreu,9,District,656.0608,2011Q4
Catalunya,-1,Autonomous Community,578.577196274967,2012Q1
Ciutat Vella,1,District,644.145203431725,2012Q1
Horta-Guinardó,7,District,605.919766376464,2012Q1
Les Corts,4,District,878.2372,2012Q1
Ciutat Vella,1,District,655.2527,2012Q1
Metropolità de Barcelona,-1,Functional Territorial Area,647.781382606915,2012Q1
Sarrià-Sant Gervasi,5,District,984.435826930946,2012Q1
Nou Barris,8,District,551.686372736733,2012Q1
Horta-Guinardó,7,District,618.8665,2012Q1
Sant Andreu,9,District,626.825254137805,2012Q1
Barcelona,-1,Municipality,732.4637,2012Q1
Metropolità de Barcelona,-1,Functional Territorial Area,639.865116735872,2012Q1
Eixample,2,District,800.447597563342,2012Q1
Les Corts,4,District,867.355413612565,2012Q1
Sarrià-Sant Gervasi,5,District,1017.0856,2012Q1
Catalunya,-1,Autonomous Community,571.218655990795,2012Q1
Eixample,2,District,801.308,2012Q1
Sant Andreu,9,District,652.77,2012Q1
Sants-Montjuïc,3,District,633.076293587559,2012Q1
Sant Martí,10,District,695.0355,2012Q1
Sants-Montjuïc,3,District,643.908,2012Q1
Nou Barris,8,District,576.3146,2012Q1
Gràcia,6,District,716.1451,2012Q1
Gràcia,6,District,706.600804004739,2012Q1
Barcelona,-1,Municipality,720.131852018418,2012Q1
Sant Martí,10,District,673.601559148045,2012Q1
Sant Martí,10,District,696.4801,2012Q2
Ciutat Vella,1,District,643.8457,2012Q2
Barcelona,-1,Municipality,710.672025725169,2012Q2
Gràcia,6,District,717.6157,2012Q2
Eixample,2,District,791.8607,2012Q2
Metropolità de Barcelona,-1,Functional Territorial Area,634.290383933845,2012Q2
Catalunya,-1,Autonomous Community,568.051769081312,2012Q2
Horta-Guinardó,7,District,608.4397,2012Q2
Sants-Montjuïc,3,District,631.6539,2012Q2
Nou Barris,8,District,555.5738,2012Q2
Les Corts,4,District,835.954,2012Q2
Sarrià-Sant Gervasi,5,District,980.5086,2012Q2
Sant Andreu,9,District,616.4534,2012Q2
Sant Martí,10,District,652.3728,2012Q3
Eixample,2,District,805.5967,2012Q3
Sants-Montjuïc,3,District,629.8245,2012Q3
Les Corts,4,District,885.3792,2012Q3
Horta-Guinardó,7,District,604.0407,2012Q3
Ciutat Vella,1,District,630.2048,2012Q3
Metropolità de Barcelona,-1,Functional Territorial Area,644.595788001979,2012Q3
Catalunya,-1,Autonomous Community,572.447700264905,2012Q3
Gràcia,6,District,702.858,2012Q3
Sant Andreu,9,District,613.352,2012Q3
Sarrià-Sant Gervasi,5,District,975.3882,2012Q3
Barcelona,-1,Municipality,720.35909372267,2012Q3
Nou Barris,8,District,538.8029,2012Q3
Sant Martí,10,District,655.4249,2012Q4
Metropolità de Barcelona,-1,Functional Territorial Area,633.876959892504,2012Q4
Ciutat Vella,1,District,646.7947,2012Q4
Catalunya,-1,Autonomous Community,566.515081202801,2012Q4
Horta-Guinardó,7,District,592.8868,2012Q4
Sant Andreu,9,District,624.5269,2012Q4
Sants-Montjuïc,3,District,628.5383,2012Q4
Eixample,2,District,802.4946,2012Q4
Barcelona,-1,Municipality,718.0291,2012Q4
Les Corts,4,District,868.7494,2012Q4
Gràcia,6,District,691.5546,2012Q4
Sarrià-Sant Gervasi,5,District,970.3131,2012Q4
Nou Barris,8,District,536.7746,2012Q4
Sant Martí,10,District,637.389163277537,2013Q1
Les Corts,4,District,827.818,2013Q1
Metropolità de Barcelona,-1,Functional Territorial Area,609.932781200129,2013Q1
Sants-Montjuïc,3,District,597.0296,2013Q1
Ciutat Vella,1,District,618.669598875646,2013Q1
Horta-Guinardó,7,District,579.3277,2013Q1
Eixample,2,District,763.526818750631,2013Q1
Sant Andreu,9,District,578.501785001641,2013Q1
Horta-Guinardó,7,District,566.510878022269,2013Q1
Sant Martí,10,District,641.8214,2013Q1
Barcelona,-1,Municipality,686.859729728975,2013Q1
Les Corts,4,District,826.70896966951,2013Q1
Sants-Montjuïc,3,District,596.417265473557,2013Q1
Gràcia,6,District,659.245708597884,2013Q1
Metropolità de Barcelona,-1,Functional Territorial Area,603.669979960621,2013Q1
Sarrià-Sant Gervasi,5,District,938.3019,2013Q1
Nou Barris,8,District,513.820450911417,2013Q1
Eixample,2,District,764.636,2013Q1
Catalunya,-1,Autonomous Community,542.182530387483,2013Q1
Sant Andreu,9,District,599.0229,2013Q1
Ciutat Vella,1,District,625.2197,2013Q1
Catalunya,-1,Autonomous Community,547.1803972354,2013Q1
Sarrià-Sant Gervasi,5,District,935.473535406476,2013Q1
Gràcia,6,District,653.579,2013Q1
Nou Barris,8,District,525.4205,2013Q1
Barcelona,-1,Municipality,681.556673265802,2013Q1
Metropolità de Barcelona,-1,Functional Territorial Area,597.472984803038,2013Q2
Sants-Montjuïc,3,District,591.7483,2013Q2
Nou Barris,8,District,516.6238,2013Q2
Sarrià-Sant Gervasi,5,District,927.6839,2013Q2
Barcelona,-1,Municipality,676.628352278652,2013Q2
Horta-Guinardó,7,District,568.8592,2013Q2
Ciutat Vella,1,District,606.9531,2013Q2
Catalunya,-1,Autonomous Community,535.648083597185,2013Q2
Eixample,2,District,760.2274,2013Q2
Gràcia,6,District,655.9184,2013Q2
Les Corts,4,District,825.2648,2013Q2
Sant Martí,10,District,644.1613,2013Q2
Sant Andreu,9,District,582.0945,2013Q2
Metropolità de Barcelona,-1,Functional Territorial Area,606.546990609965,2013Q3
Barcelona,-1,Municipality,681.227660164141,2013Q3
Sant Martí,10,District,628.5047,2013Q3
Eixample,2,District,765.704,2013Q3
Nou Barris,8,District,507.2951,2013Q3
Sant Andreu,9,District,558.6788,2013Q3
Gràcia,6,District,659.7142,2013Q3
Sants-Montjuïc,3,District,591.8721,2013Q3
Les Corts,4,District,826.7125,2013Q3
Catalunya,-1,Autonomous Community,544.77714709365,2013Q3
Ciutat Vella,1,District,615.3296,2013Q3
Sarrià-Sant Gervasi,5,District,936.1729,2013Q3
Horta-Guinardó,7,District,556.8379,2013Q3
Sarrià-Sant Gervasi,5,District,939.1187,2013Q4
Metropolità de Barcelona,-1,Functional Territorial Area,601.255371465527,2013Q4
Nou Barris,8,District,505.6662,2013Q4
Catalunya,-1,Autonomous Community,541.550139647201,2013Q4
Sants-Montjuïc,3,District,604.6827,2013Q4
Ciutat Vella,1,District,627.4819,2013Q4
Eixample,2,District,763.6354,2013Q4
Sant Martí,10,District,635.3954,2013Q4
Barcelona,-1,Municipality,681.686149296487,2013Q4
Sant Andreu,9,District,575.978,2013Q4
Les Corts,4,District,826.8924,2013Q4
Horta-Guinardó,7,District,560.1757,2013Q4
Gràcia,6,District,667.1353,2013Q4
la Teixonera,38,Neighbourhood,486.438595041322,2014Q1
la Trinitat Vella,57,Neighbourhood,422.90843373494,2014Q1
Les Corts,4,District,853.001555916844,2014Q1
Horta-Guinardó,7,District,557.1015,2014Q1
el Baix Guinardó,33,Neighbourhood,620.974409317804,2014Q1
Sant Gervasi - la Bonanova,25,Neighbourhood,927.6345,2014Q1
Gràcia,6,District,669.8033,2014Q1
la Sagrada Família,6,Neighbourhood,680.680602327173,2014Q1
Sants,18,Neighbourhood,605.276360759494,2014Q1
la Trinitat Nova,53,Neighbourhood,442.941176470588,2014Q1
Sarrià-Sant Gervasi,5,District,978.021607640345,2014Q1
Gràcia,6,District,673.86201340388,2014Q1
la Vall d'Hebron,41,Neighbourhood,737.727272727273,2014Q1
Sant Antoni,10,Neighbourhood,711.369570815451,2014Q1
"Sant Pere, Santa Caterina i la Ribera",4,Neighbourhood,685.142800407332,2014Q1
el Parc i la Llacuna del Poblenou,66,Neighbourhood,704.674861111111,2014Q1
el Coll,29,Neighbourhood,583.93023255814,2014Q1
la Trinitat Nova,53,Neighbourhood,434.422822580645,2014Q1
Canyelles,49,Neighbourhood,536.410256410256,2014Q1
el Poble Sec - AEI Parc Montjuïc,11,Neighbourhood,582.600369702434,2014Q1
la Font de la Guatlla,14,Neighbourhood,631.5,2014Q1
Sant Antoni,10,Neighbourhood,693.426853146853,2014Q1
Barcelona,-1,Municipality,674.8682492819,2014Q1
la Teixonera,38,Neighbourhood,492.788888888889,2014Q1
el Coll,29,Neighbourhood,555.869137931035,2014Q1
Can Peguera,47,Neighbourhood,221.134545454545,2014Q1
el Poblenou,68,Neighbourhood,654.347887323944,2014Q1
la Nova Esquerra de l'Eixample,9,Neighbourhood,716.130981308411,2014Q1
Nou Barris,8,District,489.8155,2014Q1
Canyelles,49,Neighbourhood,563.333333333333,2014Q1
la Marina de Port,13,Neighbourhood,527.279183673469,2014Q1
Porta,45,Neighbourhood,529.546084452975,2014Q1
Verdun,51,Neighbourhood,503.468085106383,2014Q1
les Corts,19,Neighbourhood,777.233063063063,2014Q1
la Verneda i la Pau,73,Neighbourhood,568.676376811594,2014Q1
el Turó de la Peira,46,Neighbourhood,473.157293729373,2014Q1
Can Baró,34,Neighbourhood,568.936170212766,2014Q1
la Font d'en Fargues,36,Neighbourhood,585.454285714286,2014Q1
el Bon Pastor,59,Neighbourhood,488.138157894737,2014Q1
Horta,43,Neighbourhood,567.243333333333,2014Q1
Navas,63,Neighbourhood,613.465346534653,2014Q1
Eixample,2,District,776.912531880109,2014Q1
Metropolità de Barcelona,-1,Functional Territorial Area,603.470148514685,2014Q1
Ciutat Vella,1,District,630.9702,2014Q1
Sant Andreu,60,Neighbourhood,576.596156069364,2014Q1
Sants - Badal,17,Neighbourhood,584.271812080537,2014Q1
la Dreta de l'Eixample,7,Neighbourhood,945.882363636363,2014Q1
Vilapicina i la Torre Llobeta,44,Neighbourhood,568.233004484305,2014Q1
Sant Martí,10,District,640.813037363092,2014Q1
el Baix Guinardó,33,Neighbourhood,622.631985815603,2014Q1
la Guineueta,48,Neighbourhood,613.584905660377,2014Q1
Montbau,40,Neighbourhood,537.936363636364,2014Q1
Barcelona,-1,Municipality,688.234131143185,2014Q1
la Vila de Gràcia,31,Neighbourhood,681.712329136691,2014Q1
les Roquetes,50,Neighbourhood,450.759080882353,2014Q1
"Vallvidrera, el Tibidabo i les Planes",22,Neighbourhood,1134.25113636364,2014Q1
Sants-Montjuïc,3,District,587.0903,2014Q1
la Sagrada Família,6,Neighbourhood,673.373355704698,2014Q1
Sants,18,Neighbourhood,624.117634146342,2014Q1
Sarrià,23,Neighbourhood,1042.15688073394,2014Q1
Sant Martí,10,District,639.8561,2014Q1
Sant Gervasi - Galvany,26,Neighbourhood,1047.42055223881,2014Q1
Horta-Guinardó,7,District,563.764691277837,2014Q1
Catalunya,-1,Autonomous Community,539.536158504138,2014Q1
el Congrés i els Indians,62,Neighbourhood,583.67161971831,2014Q1
el Besòs i el Maresme,70,Neighbourhood,477.059798270893,2014Q1
la Trinitat Vella,57,Neighbourhood,461.09756097561,2014Q1
el Congrés i els Indians,62,Neighbourhood,563.420985915493,2014Q1
la Sagrera,61,Neighbourhood,607.036618122977,2014Q1
la Clota,42,Neighbourhood,480.0,2014Q1
Montbau,40,Neighbourhood,552.54,2014Q1
Sant Andreu,60,Neighbourhood,581.155243445693,2014Q1
"Sant Pere, Santa Caterina i la Ribera",4,Neighbourhood,673.437040816326,2014Q1
el Barri Gòtic,2,Neighbourhood,749.990873015873,2014Q1
Sant Gervasi - la Bonanova,25,Neighbourhood,942.559185520362,2014Q1
les Roquetes,50,Neighbourhood,461.28131147541,2014Q1
el Carmel,37,Neighbourhood,494.997425431711,2014Q1
Hostafrancs,15,Neighbourhood,580.707692307692,2014Q1
Sant Andreu,9,District,577.5512,2014Q1
la Sagrera,61,Neighbourhood,626.256493506493,2014Q1
Sant Gervasi - Galvany,26,Neighbourhood,1053.69648464164,2014Q1
el Raval,1,Neighbourhood,577.852836386608,2014Q1
la Marina de Port,13,Neighbourhood,553.55421686747,2014Q1
el Camp de l'Arpa del Clot,64,Neighbourhood,598.818432483475,2014Q1
Provençals del Poblenou,71,Neighbourhood,635.698470588235,2014Q1
les Tres Torres,24,Neighbourhood,1215.84507042254,2014Q1
el Parc i la Llacuna del Poblenou,66,Neighbourhood,693.717672131148,2014Q1
Vallbona,56,Neighbourhood,281.70875,2014Q1
la Maternitat i Sant Ramon,20,Neighbourhood,760.257964071856,2014Q1
el Carmel,37,Neighbourhood,478.700466666667,2014Q1
Navas,63,Neighbourhood,623.783793103448,2014Q1
la Bordeta,16,Neighbourhood,604.735505617978,2014Q1
el Guinardó,35,Neighbourhood,581.393736383442,2014Q1
Sarrià-Sant Gervasi,5,District,971.1756,2014Q1
Provençals del Poblenou,71,Neighbourhood,639.552655737705,2014Q1
Sants - Badal,17,Neighbourhood,597.282282282282,2014Q1
la Barceloneta,3,Neighbourhood,540.709615384615,2014Q1
el Bon Pastor,59,Neighbourhood,496.581635220126,2014Q1
Torre Baró,54,Neighbourhood,334.4575,2014Q1
la Guineueta,48,Neighbourhood,614.563839662447,2014Q1
Sant Martí de Provençals,72,Neighbourhood,633.775110497238,2014Q1
el Raval,1,Neighbourhood,589.548623595506,2014Q1
Can Baró,34,Neighbourhood,542.719718309859,2014Q1
la Vila Olímpica del Poblenou,67,Neighbourhood,926.428055555555,2014Q1
Ciutat Meridiana,55,Neighbourhood,359.272,2014Q1
Catalunya,-1,Autonomous Community,532.866403359565,2014Q1
la Verneda i la Pau,73,Neighbourhood,565.467476340694,2014Q1
la Font de la Guatlla,14,Neighbourhood,644.641064638783,2014Q1
el Poblenou,68,Neighbourhood,663.932994350282,2014Q1
Diagonal Mar i el Front Marítim del Poblenou,69,Neighbourhood,892.033406593406,2014Q1
la Salut,30,Neighbourhood,634.480779220779,2014Q1
Sant Genís dels Agudells,39,Neighbourhood,553.888235294118,2014Q1
la Font d'en Fargues,36,Neighbourhood,712.414408602151,2014Q1
la Vall d'Hebron,41,Neighbourhood,699.387755102041,2014Q1
el Besòs i el Maresme,70,Neighbourhood,516.901265822785,2014Q1
Les Corts,4,District,808.6391,2014Q1
Sant Martí de Provençals,72,Neighbourhood,643.660476190476,2014Q1
